image,country,count_boundary_pixels,count_parcel_pixels,count_background_pixels
AT_1433_S2_10m_256.nc,AT,9453,23585,41951
NL_4296_S2_10m_256.nc,NL,18615,34031,31505
NL_4533_S2_10m_256.nc,NL,1290,1651,63885
AT_5505_S2_10m_256.nc,AT,3607,15594,49942
AT_6420_S2_10m_256.nc,AT,23272,39673,25863
SE_30841_S2_10m_256.nc,SE,4977,7781,57755
FR_57799_S2_10m_256.nc,FR,6038,43690,21846
FR_21056_S2_10m_256.nc,FR,21956,47529,18007
FR_42216_S2_10m_256.nc,FR,14531,27226,38310
AT_245_S2_10m_256.nc,AT,6272,13661,51875
AT_4857_S2_10m_256.nc,AT,27175,53138,12398
AT_6994_S2_10m_256.nc,AT,228,120,65416
NL_3411_S2_10m_256.nc,NL,23007,51481,14055
SE_42100_S2_10m_256.nc,SE,13028,14407,51129
AT_4469_S2_10m_256.nc,AT,8462,11983,53553
AT_5261_S2_10m_256.nc,AT,9724,11622,53914
SE_30909_S2_10m_256.nc,SE,7832,8938,56598
AT_8100_S2_10m_256.nc,AT,2572,4905,60631
FR_31954_S2_10m_256.nc,FR,12142,25114,40422
SE_46115_S2_10m_256.nc,SE,218,187,65349
AT_7112_S2_10m_256.nc,AT,12910,19459,46077
NL_4503_S2_10m_256.nc,NL,24172,42470,23066
AT_7786_S2_10m_256.nc,AT,9301,12983,52553
ES_1670_S2_10m_256.nc,ES,10352,15801,49735
FR_39816_S2_10m_256.nc,FR,2540,13339,52197
FR_40211_S2_10m_256.nc,FR,13605,31829,33707
NL_4189_S2_10m_256.nc,NL,24402,49734,15802
AT_7732_S2_10m_256.nc,AT,1275,54176,11360
SE_36329_S2_10m_256.nc,SE,6452,7347,58189
ES_1618_S2_10m_256.nc,ES,31820,51201,14335
NL_4123_S2_10m_256.nc,NL,25101,47991,17545
AT_9899_S2_10m_256.nc,AT,26125,57223,8313
NL_1723_S2_10m_256.nc,NL,19254,49592,15944
SI_1283_S2_10m_256.nc,SI,8603,12274,53262
AT_6812_S2_10m_256.nc,AT,7615,8480,57056
AT_7660_S2_10m_256.nc,AT,0,0,65536
FR_38577_S2_10m_256.nc,FR,947,2945,62591
FR_59547_S2_10m_256.nc,FR,7753,27272,38264
AT_5829_S2_10m_256.nc,AT,17436,27271,38265
AT_4389_S2_10m_256.nc,AT,3924,13447,52089
AT_8428_S2_10m_256.nc,AT,11734,26107,39429
